Collar,Sample,DateTime,Exp_Flux_mmol_co2_m2_s,Date,Time,Seconds_after_midnight,Year
8A,A,2018-06-12T10:20:00Z,5.52,6/12/2018,10:20:00,37200,2018
8A,A,2018-06-12T10:30:00Z,5.91,6/12/2018,10:30:00,37800,2018
8A,A,2018-06-12T10:40:00Z,5.95,6/12/2018,10:40:00,38400,2018
8A,A,2018-06-12T10:50:00Z,6.19,6/12/2018,10:50:00,39000,2018
8A,A,2018-06-12T11:00:00Z,6.86,6/12/2018,11:00:00,39600,2018
8A,A,2018-06-12T11:10:00Z,7.12,6/12/2018,11:10:00,40200,2018
8A,A,2018-06-12T11:20:00Z,6.71,6/12/2018,11:20:00,40800,2018
8A,A,2018-06-12T11:30:00Z,7.78,6/12/2018,11:30:00,41400,2018
8A,A,2018-06-12T11:40:00Z,8.18,6/12/2018,11:40:00,42000,2018
8A,A,2018-06-12T11:50:00Z,7.55,6/12/2018,11:50:00,42600,2018
8A,A,2018-06-12T12:00:00Z,8.86,6/12/2018,12:00:00,43200,2018
8A,A,2018-06-12T12:10:00Z,8.66,6/12/2018,12:10:00,43800,2018
8A,A,2018-06-12T12:20:00Z,8.42,6/12/2018,12:20:00,44400,2018
8A,A,2018-06-12T12:30:00Z,8.6,6/12/2018,12:30:00,45000,2018
8A,A,2018-06-12T12:40:00Z,8.58,6/12/2018,12:40:00,45600,2018
8A,A,2018-06-12T12:50:00Z,8.27,6/12/2018,12:50:00,46200,2018
8A,A,2018-06-12T13:00:00Z,8.02,6/12/2018,13:00:00,46800,2018
8A,A,2018-06-12T13:10:00Z,9.09,6/12/2018,13:10:00,47400,2018
8A,A,2018-06-12T13:20:00Z,8.87,6/12/2018,13:20:00,48000,2018
8A,A,2018-06-12T13:30:00Z,8.61,6/12/2018,13:30:00,48600,2018
8A,A,2018-06-12T13:40:00Z,9.3,6/12/2018,13:40:00,49200,2018
8A,A,2018-06-12T13:50:00Z,8.75,6/12/2018,13:50:00,49800,2018
8A,A,2018-06-12T14:00:00Z,8.69,6/12/2018,14:00:00,50400,2018
8A,A,2018-06-12T14:10:00Z,8.83,6/12/2018,14:10:00,51000,2018
8A,A,2018-06-12T14:20:00Z,9.3,6/12/2018,14:20:00,51600,2018
8A,A,2018-06-12T14:30:00Z,8.78,6/12/2018,14:30:00,52200,2018
8A,A,2018-06-12T14:40:00Z,8.42,6/12/2018,14:40:00,52800,2018
8A,A,2018-06-12T14:50:00Z,8.57,6/12/2018,14:50:00,53400,2018
8A,A,2018-06-12T15:00:00Z,8.77,6/12/2018,15:00:00,54000,2018
8A,A,2018-06-12T15:10:00Z,8.42,6/12/2018,15:10:00,54600,2018
8A,A,2018-06-12T15:20:00Z,8.51,6/12/2018,15:20:00,55200,2018
8A,A,2018-06-12T15:30:00Z,7.82,6/12/2018,15:30:00,55800,2018
8A,A,2018-06-12T15:40:00Z,9.21,6/12/2018,15:40:00,56400,2018
8A,A,2018-06-12T15:50:00Z,7.75,6/12/2018,15:50:00,57000,2018
8A,A,2018-06-12T16:00:00Z,9.02,6/12/2018,16:00:00,57600,2018
8A,A,2018-06-12T16:10:00Z,8.7,6/12/2018,16:10:00,58200,2018
8A,A,2018-06-12T16:20:00Z,8.71,6/12/2018,16:20:00,58800,2018
8A,A,2018-06-12T16:30:00Z,7.74,6/12/2018,16:30:00,59400,2018
8A,A,2018-06-12T16:40:00Z,8.43,6/12/2018,16:40:00,60000,2018
8A,A,2018-06-12T16:50:00Z,9.33,6/12/2018,16:50:00,60600,2018
8A,A,2018-06-12T17:00:00Z,10.16,6/12/2018,17:00:00,61200,2018
8A,A,2018-06-12T17:10:00Z,9.16,6/12/2018,17:10:00,61800,2018
8A,A,2018-06-12T17:20:00Z,10.15,6/12/2018,17:20:00,62400,2018
8A,A,2018-06-12T17:30:00Z,9.48,6/12/2018,17:30:00,63000,2018
8A,A,2018-06-12T17:40:00Z,9.24,6/12/2018,17:40:00,63600,2018
8A,A,2018-06-12T17:50:00Z,9.05,6/12/2018,17:50:00,64200,2018
8A,A,2018-06-12T18:00:00Z,9,6/12/2018,18:00:00,64800,2018
8A,A,2018-06-12T18:10:00Z,8.19,6/12/2018,18:10:00,65400,2018
8A,A,2018-06-12T18:20:00Z,8.44,6/12/2018,18:20:00,66000,2018
8A,A,2018-06-12T18:30:00Z,8.53,6/12/2018,18:30:00,66600,2018
8A,A,2018-06-12T18:40:00Z,8.79,6/12/2018,18:40:00,67200,2018
8A,A,2018-06-12T18:50:00Z,8.92,6/12/2018,18:50:00,67800,2018
8A,A,2018-06-12T19:00:00Z,9.05,6/12/2018,19:00:00,68400,2018
8A,A,2018-06-12T19:10:00Z,9.29,6/12/2018,19:10:00,69000,2018
8A,A,2018-06-12T19:20:00Z,8.49,6/12/2018,19:20:00,69600,2018
8A,A,2018-06-12T19:30:00Z,9.17,6/12/2018,19:30:00,70200,2018
8A,A,2018-06-12T19:40:00Z,9.76,6/12/2018,19:40:00,70800,2018
8A,A,2018-06-12T19:50:00Z,7.9,6/12/2018,19:50:00,71400,2018
8A,A,2018-06-12T20:00:00Z,8.94,6/12/2018,20:00:00,72000,2018
8A,A,2018-06-12T20:10:00Z,8.78,6/12/2018,20:10:00,72600,2018
8A,A,2018-06-12T20:20:00Z,8.07,6/12/2018,20:20:00,73200,2018
8A,B,2018-07-18T09:39:39Z,6.85,7/18/2018,9:39:39,34779,2018
8A,B,2018-07-18T09:48:46Z,6.87,7/18/2018,9:48:46,35326,2018
8A,B,2018-07-18T09:58:46Z,7.1,7/18/2018,9:58:46,35926,2018
8A,B,2018-07-18T10:08:46Z,7.4,7/18/2018,10:08:46,36526,2018
8A,B,2018-07-18T10:18:46Z,7.27,7/18/2018,10:18:46,37126,2018
8A,B,2018-07-18T10:28:46Z,7.45,7/18/2018,10:28:46,37726,2018
8A,B,2018-07-18T10:38:46Z,7.82,7/18/2018,10:38:46,38326,2018
8A,B,2018-07-18T10:48:46Z,7.9,7/18/2018,10:48:46,38926,2018
8A,B,2018-07-18T10:58:46Z,7.7,7/18/2018,10:58:46,39526,2018
8A,B,2018-07-18T11:08:46Z,7.95,7/18/2018,11:08:46,40126,2018
8A,B,2018-07-18T11:18:46Z,8.21,7/18/2018,11:18:46,40726,2018
8A,B,2018-07-18T11:28:46Z,8.81,7/18/2018,11:28:46,41326,2018
8A,B,2018-07-18T11:38:46Z,8.86,7/18/2018,11:38:46,41926,2018
8A,B,2018-07-18T11:48:46Z,8.86,7/18/2018,11:48:46,42526,2018
8A,B,2018-07-18T11:58:46Z,8.65,7/18/2018,11:58:46,43126,2018
8A,B,2018-07-18T12:08:46Z,8.22,7/18/2018,12:08:46,43726,2018
8A,B,2018-07-18T12:18:46Z,9.32,7/18/2018,12:18:46,44326,2018
8A,B,2018-07-18T12:28:46Z,8.38,7/18/2018,12:28:46,44926,2018
8A,B,2018-07-18T12:38:46Z,8.94,7/18/2018,12:38:46,45526,2018
8A,B,2018-07-18T12:48:46Z,8.64,7/18/2018,12:48:46,46126,2018
8A,B,2018-07-18T12:58:46Z,8.39,7/18/2018,12:58:46,46726,2018
8A,B,2018-07-18T13:08:47Z,8.6,7/18/2018,13:08:47,47327,2018
8A,B,2018-07-18T13:18:46Z,9.19,7/18/2018,13:18:46,47926,2018
8A,B,2018-07-18T13:28:46Z,9.74,7/18/2018,13:28:46,48526,2018
8A,B,2018-07-18T13:38:46Z,9.09,7/18/2018,13:38:46,49126,2018
8A,B,2018-07-18T13:48:46Z,10.1,7/18/2018,13:48:46,49726,2018
8A,B,2018-07-18T13:58:46Z,9.92,7/18/2018,13:58:46,50326,2018
8A,B,2018-07-18T14:08:46Z,8.72,7/18/2018,14:08:46,50926,2018
8A,B,2018-07-18T14:18:46Z,9.57,7/18/2018,14:18:46,51526,2018
8A,B,2018-07-18T14:28:46Z,8.62,7/18/2018,14:28:46,52126,2018
8A,B,2018-07-18T14:38:46Z,8.13,7/18/2018,14:38:46,52726,2018
8A,B,2018-07-18T14:48:46Z,8.41,7/18/2018,14:48:46,53326,2018
8A,B,2018-07-18T14:58:46Z,7.82,7/18/2018,14:58:46,53926,2018
8A,B,2018-07-18T15:08:45Z,7.8,7/18/2018,15:08:45,54525,2018
8A,B,2018-07-18T15:18:46Z,8.78,7/18/2018,15:18:46,55126,2018
8A,B,2018-07-18T15:28:46Z,8.8,7/18/2018,15:28:46,55726,2018
8A,B,2018-07-18T15:38:46Z,8,7/18/2018,15:38:46,56326,2018
8A,B,2018-07-18T15:48:47Z,7,7/18/2018,15:48:47,56927,2018
8A,B,2018-07-18T15:58:46Z,6.51,7/18/2018,15:58:46,57526,2018
8A,B,2018-07-18T16:08:46Z,6.67,7/18/2018,16:08:46,58126,2018
8A,B,2018-07-18T16:18:46Z,6.58,7/18/2018,16:18:46,58726,2018
8A,B,2018-07-18T16:28:47Z,7.33,7/18/2018,16:28:47,59327,2018
8A,B,2018-07-18T16:38:47Z,8.2,7/18/2018,16:38:47,59927,2018
8A,B,2018-07-18T16:48:47Z,8.66,7/18/2018,16:48:47,60527,2018
8A,B,2018-07-18T16:58:47Z,9.08,7/18/2018,16:58:47,61127,2018
8A,B,2018-07-18T17:08:46Z,9.87,7/18/2018,17:08:46,61726,2018
8A,B,2018-07-18T17:18:47Z,9.36,7/18/2018,17:18:47,62327,2018
8A,B,2018-07-18T17:28:47Z,9.78,7/18/2018,17:28:47,62927,2018
8A,B,2018-07-18T17:38:47Z,10.35,7/18/2018,17:38:47,63527,2018
8A,B,2018-07-18T17:48:47Z,10.06,7/18/2018,17:48:47,64127,2018
8A,B,2018-07-18T17:58:47Z,9.69,7/18/2018,17:58:47,64727,2018
8A,B,2018-07-18T18:08:46Z,9.61,7/18/2018,18:08:46,65326,2018
8A,B,2018-07-18T18:18:46Z,10.01,7/18/2018,18:18:46,65926,2018
8A,B,2018-07-18T18:28:46Z,10.17,7/18/2018,18:28:46,66526,2018
8A,B,2018-07-18T18:38:46Z,9.7,7/18/2018,18:38:46,67126,2018
8A,B,2018-07-18T18:48:46Z,10.02,7/18/2018,18:48:46,67726,2018
8A,B,2018-07-18T18:58:46Z,10.4,7/18/2018,18:58:46,68326,2018
8A,B,2018-07-18T19:08:46Z,9.61,7/18/2018,19:08:46,68926,2018
8A,B,2018-07-18T19:18:46Z,10.72,7/18/2018,19:18:46,69526,2018
8A,B,2018-07-18T19:28:46Z,10.39,7/18/2018,19:28:46,70126,2018
8A,B,2018-07-18T19:38:46Z,10.38,7/18/2018,19:38:46,70726,2018
8A,B,2018-07-18T19:48:46Z,10.08,7/18/2018,19:48:46,71326,2018
8A,B,2018-07-18T19:58:46Z,10.11,7/18/2018,19:58:46,71926,2018
8A,B,2018-07-18T20:08:46Z,9.91,7/18/2018,20:08:46,72526,2018
8A,B,2018-07-18T20:18:46Z,10.54,7/18/2018,20:18:46,73126,2018
8A,B,2018-07-18T20:28:46Z,10.68,7/18/2018,20:28:46,73726,2018
8A,B,2018-07-18T20:38:46Z,9.94,7/18/2018,20:38:46,74326,2018
8A,B,2018-07-18T20:48:46Z,10.03,7/18/2018,20:48:46,74926,2018
8A,B,2018-07-18T20:58:46Z,9.58,7/18/2018,20:58:46,75526,2018
8A,B,2018-07-18T21:08:46Z,10.17,7/18/2018,21:08:46,76126,2018
8A,B,2018-07-18T21:18:46Z,9.73,7/18/2018,21:18:46,76726,2018
8A,B,2018-07-18T21:28:46Z,9,7/18/2018,21:28:46,77326,2018
8A,B,2018-07-18T21:38:46Z,8.96,7/18/2018,21:38:46,77926,2018
8A,B,2018-07-18T21:48:46Z,8.93,7/18/2018,21:48:46,78526,2018
8A,B,2018-07-18T21:58:46Z,8.67,7/18/2018,21:58:46,79126,2018
8A,B,2018-07-18T22:08:46Z,8.1,7/18/2018,22:08:46,79726,2018
8A,B,2018-07-18T22:18:46Z,8.17,7/18/2018,22:18:46,80326,2018
8A,B,2018-07-18T22:28:46Z,7.74,7/18/2018,22:28:46,80926,2018
8A,B,2018-07-18T22:38:46Z,7.57,7/18/2018,22:38:46,81526,2018
8A,B,2018-07-18T22:48:46Z,7.7,7/18/2018,22:48:46,82126,2018
8A,B,2018-07-18T22:58:46Z,7.96,7/18/2018,22:58:46,82726,2018
8A,B,2018-07-18T23:08:46Z,8.02,7/18/2018,23:08:46,83326,2018
8A,B,2018-07-18T23:18:46Z,7.76,7/18/2018,23:18:46,83926,2018
8A,B,2018-07-18T23:28:46Z,7.48,7/18/2018,23:28:46,84526,2018
8A,B,2018-07-18T23:38:46Z,7.62,7/18/2018,23:38:46,85126,2018
8A,B,2018-07-18T23:48:46Z,7.3,7/18/2018,23:48:46,85726,2018
8A,B,2018-07-18T23:58:46Z,7.13,7/18/2018,23:58:46,86326,2018
8A,B,2018-07-19T00:08:46Z,7.09,7/19/2018,0:08:46,526,2018
8A,B,2018-07-19T00:18:46Z,7.23,7/19/2018,0:18:46,1126,2018
8A,B,2018-07-19T00:28:46Z,7.18,7/19/2018,0:28:46,1726,2018
8A,B,2018-07-19T00:38:46Z,7.29,7/19/2018,0:38:46,2326,2018
8A,B,2018-07-19T00:48:46Z,7.3,7/19/2018,0:48:46,2926,2018
8A,B,2018-07-19T00:58:46Z,7.55,7/19/2018,0:58:46,3526,2018
8A,B,2018-07-19T01:08:46Z,6.94,7/19/2018,1:08:46,4126,2018
8A,B,2018-07-19T01:18:46Z,6.8,7/19/2018,1:18:46,4726,2018
8A,B,2018-07-19T01:28:46Z,6.93,7/19/2018,1:28:46,5326,2018
8A,B,2018-07-19T01:38:46Z,6.6,7/19/2018,1:38:46,5926,2018
8A,B,2018-07-19T01:48:46Z,6.82,7/19/2018,1:48:46,6526,2018
8A,B,2018-07-19T01:58:46Z,6.57,7/19/2018,1:58:46,7126,2018
8A,B,2018-07-19T02:08:46Z,6.7,7/19/2018,2:08:46,7726,2018
8A,B,2018-07-19T02:18:46Z,7.03,7/19/2018,2:18:46,8326,2018
8A,B,2018-07-19T02:28:46Z,6.62,7/19/2018,2:28:46,8926,2018
8A,B,2018-07-19T02:38:46Z,6.97,7/19/2018,2:38:46,9526,2018
8A,B,2018-07-19T02:48:46Z,6.44,7/19/2018,2:48:46,10126,2018
8A,B,2018-07-19T02:58:46Z,6.5,7/19/2018,2:58:46,10726,2018
8A,B,2018-07-19T03:08:46Z,6.94,7/19/2018,3:08:46,11326,2018
8A,B,2018-07-19T03:18:46Z,6.38,7/19/2018,3:18:46,11926,2018
8A,B,2018-07-19T03:28:46Z,6.35,7/19/2018,3:28:46,12526,2018
8A,B,2018-07-19T03:38:46Z,6.04,7/19/2018,3:38:46,13126,2018
8A,B,2018-07-19T03:48:46Z,6.12,7/19/2018,3:48:46,13726,2018
8A,B,2018-07-19T03:58:46Z,6.13,7/19/2018,3:58:46,14326,2018
8A,B,2018-07-19T04:08:46Z,6.15,7/19/2018,4:08:46,14926,2018
8A,B,2018-07-19T04:18:46Z,6.39,7/19/2018,4:18:46,15526,2018
8A,B,2018-07-19T04:28:46Z,6.1,7/19/2018,4:28:46,16126,2018
8A,B,2018-07-19T04:38:46Z,6.24,7/19/2018,4:38:46,16726,2018
8A,B,2018-07-19T04:48:46Z,6.23,7/19/2018,4:48:46,17326,2018
8A,B,2018-07-19T04:58:46Z,5.91,7/19/2018,4:58:46,17926,2018
8A,B,2018-07-19T05:08:46Z,6.02,7/19/2018,5:08:46,18526,2018
8A,B,2018-07-19T05:18:46Z,5.91,7/19/2018,5:18:46,19126,2018
8A,B,2018-07-19T05:28:46Z,6.27,7/19/2018,5:28:46,19726,2018
8A,B,2018-07-19T05:38:46Z,5.27,7/19/2018,5:38:46,20326,2018
8A,B,2018-07-19T05:48:46Z,5.78,7/19/2018,5:48:46,20926,2018
8A,B,2018-07-19T05:58:46Z,5.78,7/19/2018,5:58:46,21526,2018
