"","date","treatment","interpolation","exp_flux","exp_flux_se","gCday"
"6324",2018-09-24,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6325",2018-09-25,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6326",2018-09-26,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6327",2018-09-27,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6328",2018-09-28,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6329",2018-09-29,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6330",2018-09-30,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6331",2018-10-01,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6332",2018-10-02,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6333",2018-10-03,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6334",2018-10-04,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6335",2018-10-05,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6336",2018-10-06,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6337",2018-10-07,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6338",2018-10-08,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6339",2018-10-09,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6340",2018-10-10,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6341",2018-10-11,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6342",2018-10-12,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6343",2018-10-13,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6344",2018-10-14,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6345",2018-10-15,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6346",2018-10-16,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6347",2018-10-17,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6348",2018-10-18,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6349",2018-10-19,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6350",2018-10-20,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6351",2018-10-21,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6352",2018-10-22,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6353",2018-10-23,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6354",2018-10-24,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6355",2018-10-25,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6356",2018-10-26,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6357",2018-10-27,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6358",2018-10-28,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6359",2018-10-29,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6360",2018-10-30,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6361",2018-10-31,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6362",2018-11-01,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6363",2018-11-02,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6364",2018-11-03,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6365",2018-11-04,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6366",2018-11-05,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6367",2018-11-06,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6368",2018-11-07,"NI","mean",1.71962731481481,0.0702118962423001,1.7845439338
"6369",2017-10-06,"NL","mean",2.45128240740741,0.126490413247245,2.5438192988
